t,mark,rider,speed_kmh,accel_ms2,lat_accel_ms2,yaw_rate_rads,heading_deg,pitch_deg,roll_deg,lean_deg,slip_deg,throttle_in,steer_in,steer_deg,steer_limit_deg,surface_front,surface_rear,contact_f,contact_r,dist_along_m,off_centre_m,corner_radius_m,nitro,x,y,z
1.1,,riding,21.9,9.12,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.3,road,road,1,1,13.0,2.50,straight,0,-2.50,1.45,13.10
1.2,,riding,25.1,9.01,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.6,road,road,1,1,13.7,2.50,straight,0,-2.50,1.48,13.78
1.3,,riding,28.3,8.89,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.3,road,road,1,1,14.5,2.50,straight,0,-2.50,1.51,14.54
1.4,,riding,31.5,8.76,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.2,road,road,1,1,15.3,2.50,straight,0,-2.50,1.55,15.40
1.5,,riding,34.6,8.62,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.4,road,road,1,1,16.2,2.50,straight,0,-2.50,1.59,16.34
1.6,,riding,37.6,8.48,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.7,road,road,1,1,17.2,2.50,straight,0,-2.50,1.63,17.36
1.7,,riding,40.6,8.33,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.2,road,road,1,1,18.3,2.50,straight,0,-2.50,1.68,18.47
1.8,,riding,43.6,8.17,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.7,road,road,1,1,19.5,2.50,straight,0,-2.50,1.73,19.66
1.9,,riding,46.5,8.01,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.3,road,road,1,1,20.8,2.50,straight,0,-2.50,1.78,20.93
2.0,,riding,49.3,7.85,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.9,road,road,1,1,22.1,2.50,straight,0,-2.50,1.84,22.28
2.1,,riding,52.1,7.68,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6,road,road,1,1,23.5,2.50,straight,0,-2.50,1.90,23.71
2.2,,riding,54.8,7.51,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.3,road,road,1,1,25.0,2.50,straight,0,-2.50,1.96,25.21
2.3,,riding,57.4,7.34,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.1,road,road,1,1,26.6,2.50,straight,0,-2.50,2.03,26.79
2.4,,riding,60.0,7.17,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.7,road,road,1,1,28.2,2.50,straight,0,-2.50,2.09,28.43
2.5,,riding,62.5,6.99,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.3,road,road,1,1,29.9,2.50,straight,0,-2.50,2.16,30.15
2.6,,riding,65.0,6.82,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,road,road,1,1,31.7,2.50,straight,0,-2.50,2.23,31.94
2.7,,riding,67.3,6.65,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.7,road,road,1,1,33.5,2.50,straight,0,-2.50,2.29,33.79
2.8,,riding,69.7,6.48,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.5,road,road,1,1,35.4,2.50,straight,0,-2.50,2.36,35.71
2.9,,riding,71.9,6.31,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2,road,road,1,1,37.4,2.50,straight,0,-2.50,2.43,37.70
3.0,,riding,74.2,6.15,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.1,road,road,1,1,39.5,2.50,straight,0,-2.50,2.49,39.74
3.1,,riding,76.3,5.98,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9,road,road,1,1,41.5,2.50,straight,0,-2.50,2.55,41.85
3.2,,riding,78.4,5.83,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.7,road,road,1,1,43.7,2.50,straight,0,-2.50,2.61,44.01
3.3,,riding,80.5,5.67,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.6,road,road,1,1,45.9,2.50,straight,0,-2.50,2.66,46.23
3.4,,riding,82.4,5.52,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,road,road,1,1,48.2,2.50,straight,0,-2.50,2.70,48.51
3.5,,riding,84.4,5.37,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.4,road,road,1,1,50.5,2.50,straight,0,-2.50,2.73,50.84
3.6,,riding,86.3,5.24,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.3,road,road,1,1,52.9,2.50,straight,0,-2.50,2.76,53.23
3.7,,riding,88.1,5.10,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2,road,road,1,1,55.3,2.50,straight,0,-2.50,2.77,55.66
3.8,,riding,89.9,4.96,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1,road,road,1,1,57.8,2.50,straight,0,-2.50,2.77,58.15
3.9,,riding,91.6,4.82,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,road,road,1,1,60.3,2.50,straight,0,-2.50,2.77,60.68
4.0,,riding,93.3,4.67,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9,road,road,1,1,62.9,2.50,straight,0,-2.50,2.75,63.27
4.1,,riding,94.9,4.53,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.9,road,road,1,1,65.5,2.50,straight,0,-2.50,2.73,65.89
4.2,,riding,96.5,4.39,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8,road,road,1,1,68.1,2.50,straight,0,-2.50,2.70,68.56
4.3,,riding,98.0,4.25,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7,road,road,1,1,70.8,2.50,straight,0,-2.50,2.67,71.28
4.4,,riding,99.5,4.11,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.7,road,road,1,1,73.6,2.50,straight,0,-2.50,2.62,74.03
4.5,,riding,100.9,3.98,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6,road,road,1,1,76.4,2.50,straight,0,-2.50,2.57,76.83
4.6,,riding,102.3,3.85,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6,road,road,1,1,79.2,2.50,straight,0,-2.50,2.50,79.66
4.7,,riding,103.7,3.72,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6,road,road,1,1,82.1,2.50,straight,0,-2.50,2.43,82.53
4.8,,riding,105.0,3.60,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,road,road,1,1,85.0,2.50,straight,0,-2.50,2.35,85.44
4.9,,riding,106.2,3.48,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,road,road,1,1,87.9,2.50,straight,0,-2.50,2.26,88.38
5.0,,riding,107.4,3.36,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,road,road,1,1,90.9,2.50,straight,0,-2.50,2.16,91.36
5.1,,riding,108.6,3.25,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,road,road,1,1,93.9,2.50,straight,0,-2.50,2.05,94.37
5.2,,riding,109.7,3.14,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,road,road,1,1,96.9,2.50,450260,0,-2.50,1.93,97.41
5.3,,riding,110.8,3.03,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,road,road,1,1,100.0,2.50,24403,0,-2.50,1.81,100.48
5.4,,riding,111.9,2.92,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3,road,road,1,1,103.1,2.50,8244,0,-2.50,1.67,103.58
5.5,,riding,112.9,2.82,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3,road,road,1,1,106.2,2.50,4263,0,-2.50,1.52,106.70
5.6,,riding,113.9,2.72,-0.00,-0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3,road,road,1,1,109.3,2.50,2687,0,-2.50,1.37,109.86
5.7,,riding,114.8,2.63,-0.00,-0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.3,road,road,1,1,112.5,2.49,1655,0,-2.50,1.21,113.04
5.8,,riding,115.7,2.56,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2,road,road,1,1,115.7,2.48,1658,0,-2.50,1.03,116.24
5.9,,riding,116.6,2.50,0.00,0.000,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,1.2,road,road,1,1,119.0,2.46,1901,0,-2.50,0.83,119.47
6.0,,riding,117.5,2.40,9.67,0.296,0.8,0.0,0.0,-13.8,0.3,1.0,-1.0,-1.2,1.2,road,road,1,1,122.2,2.42,2618,0,-2.49,0.61,122.73
6.1,,riding,118.3,2.28,3.89,0.118,2.2,0.0,0.0,-26.8,0.8,1.0,0.0,0.0,1.2,road,road,1,1,125.5,2.33,5507,0,-2.43,0.38,126.00
6.2,,riding,119.1,2.24,0.77,0.023,2.5,0.0,0.0,-18.1,0.4,1.0,0.0,0.0,1.2,road,road,1,1,128.8,2.19,31010,0,-2.32,0.13,129.29
6.3,,riding,119.9,2.20,0.18,0.005,2.6,0.0,0.0,-7.8,0.2,1.0,0.0,0.0,1.2,road,road,1,1,132.1,2.02,4063,0,-2.19,-0.13,132.61
6.4,,riding,120.7,2.13,0.07,0.002,2.6,0.0,0.0,-3.5,0.1,1.0,0.0,0.0,1.1,road,road,1,1,135.4,1.84,2172,0,-2.05,-0.39,135.94
6.5,,riding,121.4,2.05,0.05,0.002,2.6,0.0,0.0,-1.8,0.0,1.0,0.0,0.0,1.1,road,road,1,1,138.8,1.66,1481,0,-1.90,-0.66,139.30
6.6,,riding,122.1,1.97,0.05,0.002,2.6,0.0,0.0,-0.8,0.0,1.0,0.0,0.0,1.1,road,road,1,1,142.2,1.49,1122,0,-1.74,-0.94,142.68
6.7,,riding,122.8,1.89,0.05,0.002,2.6,0.0,0.0,-0.6,0.0,1.0,0.0,0.0,1.1,road,road,1,1,145.6,1.32,753,0,-1.59,-1.22,146.07
6.8,,riding,123.5,1.80,0.05,0.001,2.6,0.0,0.0,-0.4,0.0,1.0,0.0,0.0,1.1,road,road,1,1,149.0,1.17,646,0,-1.43,-1.50,149.48
6.9,,riding,124.1,1.71,0.04,0.001,2.6,0.0,0.0,-0.3,0.0,1.0,0.0,0.0,1.1,road,road,1,1,152.4,1.03,591,0,-1.28,-1.79,152.91
7.0,,riding,124.7,1.63,0.04,0.001,2.6,0.0,0.0,-0.3,0.0,1.0,0.0,0.0,1.1,road,road,1,1,155.9,0.91,606,0,-1.12,-2.07,156.35
7.1,,riding,125.2,1.53,0.03,0.001,2.7,0.0,0.0,-0.2,0.0,1.0,0.0,0.0,1.1,road,road,1,1,159.3,0.82,696,0,-0.96,-2.35,159.82
7.2,,riding,125.7,1.44,0.02,0.001,2.7,0.0,0.0,-0.2,0.0,1.0,0.0,0.0,1.1,road,road,1,1,162.8,0.75,940,0,-0.80,-2.63,163.29
7.3,,riding,126.2,1.35,0.01,0.000,2.7,0.0,0.0,-0.1,0.0,1.0,0.0,0.0,1.0,road,road,1,1,166.3,0.70,1820,0,-0.64,-2.89,166.78
7.4,,riding,126.7,1.29,0.01,0.000,2.7,0.0,0.0,-0.1,0.0,1.0,0.0,0.0,1.0,road,road,1,1,169.8,0.65,6414,0,-0.47,-3.15,170.29
7.5,,riding,127.1,1.25,0.02,0.000,2.7,0.0,0.0,-0.1,0.0,1.0,0.0,0.0,1.0,road,road,1,1,173.4,0.58,7843,0,-0.31,-3.42,173.80
7.6,,riding,127.6,1.20,0.02,0.001,2.7,0.0,0.0,-0.1,0.0,1.0,0.0,0.0,1.0,road,road,1,1,176.9,0.50,7369,0,-0.15,-3.70,177.33
7.7,,riding,128.0,1.15,0.02,0.001,2.7,0.0,0.0,-0.1,0.0,1.0,0.0,0.0,1.0,road,road,1,1,180.5,0.42,1613,0,0.02,-3.98,180.87
7.8,,riding,128.4,1.10,0.02,0.001,2.7,0.0,0.0,-0.1,0.0,1.0,0.0,0.0,1.0,road,road,1,1,184.0,0.34,812,0,0.18,-4.27,184.42
7.9,,riding,128.5,0.34,0.02,0.001,2.7,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,1.0,road,road,1,1,187.6,0.29,404,0,0.35,-4.57,187.98
8.0,,riding,127.3,-3.22,11.52,0.326,4.0,0.0,0.0,-19.3,0.6,0.0,-1.0,-1.0,1.0,road,road,1,1,191.1,0.25,322,0,0.54,-4.85,191.51
8.1,,riding,126.1,-3.36,13.68,0.390,6.2,0.0,0.0,-37.9,1.3,0.0,-1.0,-1.0,1.0,road,road,1,1,194.7,0.18,266,0,0.79,-5.13,195.00
8.2,,riding,124.9,-3.43,4.58,0.132,7.8,0.0,0.0,-39.7,1.2,0.0,0.0,0.0,1.1,road,road,1,1,198.1,0.05,227,0,1.15,-5.41,198.45
8.3,,riding,123.7,-3.32,8.94,0.260,8.6,0.0,0.0,-31.0,0.8,0.0,-1.0,-1.1,1.1,road,road,1,1,201.6,-0.10,197,0,1.59,-5.67,201.86
8.4,,riding,122.5,-3.38,13.22,0.389,10.7,0.0,0.0,-40.1,1.2,0.0,-1.0,-1.1,1.1,road,road,1,1,205.0,-0.28,173,0,2.10,-5.93,205.22
8.5,,riding,121.2,-3.53,14.03,0.417,13.0,0.0,0.0,-44.8,1.6,0.0,-1.0,-1.1,1.1,road,road,1,1,208.4,-0.49,146,0,2.72,-6.17,208.53
8.6,,riding,120.0,-3.48,3.56,0.107,14.4,0.0,0.0,-42.5,1.2,0.0,0.0,0.0,1.2,road,road,1,1,211.8,-0.74,141,0,3.45,-6.40,211.79
8.7,,riding,118.8,-3.30,4.19,0.127,14.8,0.0,0.0,-24.2,0.5,0.0,-1.0,-1.2,1.2,road,road,1,1,215.1,-0.98,140,0,4.23,-6.62,215.00
8.8,,riding,119.2,1.20,1.71,0.052,15.4,0.0,0.0,-22.4,0.5,1.0,0.0,0.0,1.2,road,road,1,1,218.4,-1.19,146,0,5.07,-6.83,218.19
8.9,,riding,119.9,1.97,10.02,0.301,16.4,0.0,0.0,-25.8,0.6,1.0,-1.0,-1.2,1.2,road,road,1,1,221.8,-1.34,157,0,5.95,-7.03,221.39
9.0,,riding,120.6,1.74,13.62,0.407,18.6,0.0,0.0,-37.5,1.2,1.0,-1.0,-1.1,1.1,road,road,1,1,225.2,-1.50,168,0,6.91,-7.21,224.59
9.1,,riding,121.1,1.46,14.30,0.425,21.0,0.0,0.0,-43.7,1.6,1.0,-1.0,-1.1,1.1,road,road,1,1,228.5,-1.71,179,0,7.97,-7.39,227.78
9.2,,riding,121.6,1.42,3.62,0.107,22.4,0.0,0.0,-41.3,1.2,1.0,0.0,0.0,1.1,road,road,1,1,231.9,-1.98,186,0,9.16,-7.56,230.93
9.3,,riding,122.1,1.54,0.73,0.021,22.7,0.0,0.0,-23.3,0.5,1.0,0.0,0.0,1.1,road,road,1,1,235.3,-2.27,189,0,10.41,-7.73,234.08
9.4,,riding,122.7,1.53,0.17,0.005,22.7,0.0,0.0,-9.6,0.2,1.0,0.0,0.0,1.1,road,road,1,1,238.8,-2.55,185,0,11.71,-7.89,237.22
9.5,,riding,123.2,1.46,3.55,0.104,22.9,0.0,0.0,-4.8,0.1,1.0,-1.0,-1.1,1.1,road,road,1,1,242.2,-2.78,183,0,13.03,-8.05,240.38
9.6,,riding,123.7,1.29,12.38,0.360,24.5,0.0,0.0,-24.8,0.8,1.0,-1.0,-1.1,1.1,road,road,1,1,245.7,-2.98,180,0,14.38,-8.20,243.53
9.7,,riding,124.1,1.04,10.56,0.306,26.7,0.0,0.0,-39.8,1.4,1.0,0.0,0.0,1.1,road,road,1,1,249.2,-3.18,177,0,15.82,-8.34,246.66
9.8,,riding,124.4,1.05,2.02,0.058,27.5,0.0,0.0,-32.4,0.9,1.0,0.0,0.0,1.1,road,road,1,1,252.7,-3.41,174,0,17.34,-8.47,249.76
9.9,,riding,124.8,1.09,0.40,0.012,27.6,0.0,0.0,-16.9,0.3,1.0,0.0,0.0,1.1,road,road,1,1,256.3,-3.64,171,0,18.92,-8.59,252.84
10.0,,riding,125.2,1.06,0.09,0.003,27.7,0.0,0.0,-6.7,0.1,1.0,0.0,0.0,1.1,road,road,1,1,259.8,-3.82,164,0,20.52,-8.71,255.93
10.1,,riding,125.6,0.95,10.84,0.311,28.7,0.0,0.0,-19.3,0.5,1.0,-1.0,-1.1,1.1,road,road,1,1,263.4,-3.95,160,0,22.15,-8.82,259.01
10.2,,riding,125.8,0.78,7.61,0.218,30.6,0.0,0.0,-36.2,1.1,1.0,0.0,0.0,1.1,road,road,1,1,267.0,-4.06,157,0,23.84,-8.92,262.07
10.3,,riding,126.1,0.75,1.45,0.041,31.2,0.0,0.0,-27.4,0.7,1.0,0.0,0.0,1.0,road,road,1,1,270.6,-4.16,155,0,25.60,-9.01,265.10
10.4,,riding,126.4,0.77,0.28,0.008,31.3,0.0,0.0,-13.7,0.3,1.0,0.0,0.0,1.0,road,road,1,1,274.2,-4.23,153,0,27.39,-9.09,268.11
10.5,,riding,126.6,0.67,10.87,0.309,32.3,0.0,0.0,-20.4,0.6,1.0,-1.0,-1.0,1.0,road,road,1,1,277.8,-4.25,156,0,29.23,-9.16,271.11
10.6,,riding,126.8,0.49,7.60,0.216,34.2,0.0,0.0,-37.7,1.2,1.0,0.0,0.0,1.0,road,road,1,1,281.4,-4.25,159,0,31.12,-9.22,274.08
10.7,,riding,127.0,0.48,1.44,0.041,34.8,0.0,0.0,-28.5,0.7,1.0,0.0,0.0,1.0,road,road,1,1,285.1,-4.24,164,0,33.08,-9.26,277.02
10.8,,riding,127.2,0.49,6.41,0.181,35.1,0.0,0.0,-14.2,0.3,1.0,-1.0,-1.0,1.0,road,road,1,1,288.7,-4.20,169,0,35.08,-9.28,279.93
10.9,,riding,127.3,0.36,12.89,0.365,36.9,0.0,0.0,-32.4,1.0,1.0,-1.0,-1.0,1.0,road,road,1,1,292.3,-4.14,174,0,37.13,-9.30,282.81
11.0,,riding,127.4,0.32,2.44,0.069,37.8,0.0,0.0,-31.5,0.8,1.0,0.0,0.0,1.0,road,road,1,1,295.9,-4.09,184,0,39.24,-9.31,285.66
11.1,,riding,127.5,0.36,0.46,0.013,38.0,0.0,0.0,-17.6,0.3,1.0,0.0,0.0,1.0,road,road,1,1,299.5,-4.02,189,0,41.39,-9.31,288.47
11.2,,riding,127.7,0.37,0.09,0.002,38.0,0.0,0.0,-7.9,0.1,1.0,0.0,0.0,1.0,road,road,1,1,303.2,-3.91,193,0,43.57,-9.30,291.27
11.3,,riding,127.8,0.35,0.02,0.000,38.0,0.0,0.0,-3.4,0.0,1.0,0.0,0.0,1.0,road,road,1,1,306.8,-3.74,197,0,45.75,-9.29,294.07
11.4,,riding,127.9,0.32,0.00,0.000,38.0,0.0,0.0,-1.4,0.0,1.0,0.0,0.0,1.0,road,road,1,1,310.4,-3.52,203,0,47.94,-9.28,296.87
11.5,,riding,128.0,0.30,0.00,0.000,38.0,0.0,0.0,-0.6,0.0,1.0,0.0,0.0,1.0,road,road,1,1,314.0,-3.23,203,0,50.13,-9.27,299.67
11.6,,riding,128.1,0.29,-0.00,-0.000,38.0,0.0,0.0,-0.2,0.0,1.0,0.0,0.0,1.0,road,road,1,1,317.6,-2.89,198,0,52.33,-9.26,302.48
11.7,,riding,128.2,0.26,8.14,0.228,38.5,0.0,0.0,-4.8,0.2,1.0,-1.0,-1.0,1.0,road,road,1,1,321.2,-2.48,188,0,54.53,-9.25,305.28
11.8,,riding,128.3,0.17,13.21,0.371,40.5,0.0,0.0,-29.6,1.0,1.0,-1.0,-1.0,1.0,road,road,1,1,324.8,-2.05,176,0,56.77,-9.24,308.05
11.9,,riding,128.3,0.07,4.52,0.127,42.0,0.0,0.0,-38.0,1.1,1.0,0.0,0.0,1.0,road,road,1,1,328.4,-1.63,154,0,59.07,-9.24,310.77
12.0,,riding,128.4,0.17,0.85,0.024,42.3,0.0,0.0,-23.2,0.5,1.0,0.0,0.0,1.0,road,road,1,1,331.9,-1.21,150,0,61.44,-9.24,313.44
12.1,,riding,128.4,0.17,10.96,0.307,43.4,0.0,0.0,-24.9,0.7,1.0,-1.0,-1.0,1.0,road,road,1,1,335.5,-0.74,152,0,63.84,-9.24,316.09
12.2,,riding,128.4,0.04,13.74,0.385,45.5,0.0,0.0,-38.6,1.3,1.0,-1.0,-1.0,1.0,road,road,1,1,339.1,-0.26,159,0,66.30,-9.23,318.67
12.3,,riding,128.4,-0.13,14.26,0.400,47.8,0.0,0.0,-44.2,1.5,1.0,-1.0,-1.0,1.0,road,road,1,1,342.6,0.21,171,0,68.84,-9.22,321.18
12.4,,riding,128.3,-0.22,14.35,0.403,50.2,0.0,0.0,-46.4,1.7,1.0,-1.0,-1.0,1.0,road,road,1,1,346.1,0.61,191,0,71.47,-9.21,323.58
12.5,,riding,128.3,-0.15,4.73,0.133,51.8,0.0,0.0,-43.4,1.4,1.0,0.0,0.0,1.0,road,road,1,1,349.7,0.93,245,0,74.19,-9.19,325.89
12.6,,riding,128.3,0.10,0.89,0.025,52.1,0.0,0.0,-24.1,0.6,1.0,0.0,0.0,1.0,road,road,1,1,353.2,1.21,285,0,76.96,-9.18,328.13
12.7,,riding,128.4,0.21,0.17,0.005,52.2,0.0,0.0,-12.6,0.2,1.0,0.0,0.0,1.0,road,road,1,1,356.8,1.49,340,0,79.77,-9.16,330.34
12.8,,riding,128.4,0.22,0.03,0.001,52.2,0.0,0.0,-4.7,0.1,1.0,0.0,0.0,1.0,road,road,1,1,360.3,1.79,420,0,82.58,-9.14,332.53
12.9,,riding,128.5,0.15,11.68,0.327,53.5,0.0,0.0,-23.8,0.7,1.0,-1.0,-1.0,1.0,road,road,1,1,363.8,2.10,547,0,85.41,-9.12,334.70
13.0,,riding,128.5,0.01,13.87,0.389,55.7,0.0,0.0,-36.6,1.3,1.0,-1.0,-1.0,1.0,road,road,1,1,367.4,2.36,1271,0,88.29,-9.11,336.82
13.1,,riding,128.5,0.01,2.62,0.073,56.7,0.0,0.0,-34.8,0.9,1.0,0.0,0.0,1.0,road,road,1,1,371.0,2.53,1977,0,91.23,-9.09,338.86
13.2,,riding,128.6,0.14,0.50,0.014,56.8,0.0,0.0,-18.8,0.4,1.0,0.0,0.0,1.0,road,road,1,1,374.5,2.64,2236,0,94.20,-9.07,340.84
13.3,,riding,128.6,0.19,0.09,0.003,56.9,0.0,0.0,-8.5,0.1,1.0,0.0,0.0,1.0,road,road,1,1,378.1,2.72,1611,0,97.18,-9.06,342.81
13.4,,riding,128.7,0.15,10.82,0.303,57.9,0.0,0.0,-19.6,0.5,1.0,-1.0,-1.0,1.0,road,road,1,1,381.7,2.76,965,0,100.18,-9.04,344.75
13.5,,riding,128.7,0.03,10.22,0.286,59.9,0.0,0.0,-36.4,1.2,1.0,0.0,0.0,1.0,road,road,1,1,385.2,2.76,632,0,103.22,-9.03,346.64
13.6,,riding,128.7,0.07,1.93,0.054,60.6,0.0,0.0,-31.5,0.8,1.0,0.0,0.0,1.0,road,road,1,1,388.8,2.72,455,0,106.30,-9.02,348.46
13.7,,riding,128.8,0.16,0.36,0.010,60.8,0.0,0.0,-14.3,0.3,1.0,0.0,0.0,1.0,road,road,1,1,392.3,2.65,448,0,109.41,-9.01,350.24
13.8,,riding,128.8,0.19,0.07,0.002,60.8,0.0,0.0,-7.2,0.1,1.0,0.0,0.0,1.0,road,road,1,1,395.9,2.59,482,0,112.53,-9.01,352.00
13.9,,riding,128.9,0.19,0.01,0.000,60.8,0.0,0.0,-3.1,0.0,1.0,0.0,0.0,1.0,road,road,1,1,399.4,2.54,563,0,115.65,-9.00,353.75
14.0,,riding,129.0,0.18,0.00,0.000,60.8,0.0,0.0,-1.3,0.0,1.0,0.0,0.0,1.0,road,road,1,1,403.0,2.52,681,0,118.78,-9.00,355.50
14.1,,riding,129.0,0.17,-3.49,-0.097,60.7,0.0,0.0,-0.5,-0.0,1.0,1.0,1.0,1.0,road,road,1,1,406.6,2.50,1168,0,121.91,-8.99,357.25
14.2,,riding,129.1,0.09,-12.33,-0.344,59.1,0.0,0.0,23.5,-0.8,1.0,1.0,1.0,1.0,road,road,1,1,410.2,2.53,1812,0,125.02,-8.99,359.03
14.3,,riding,129.1,0.06,-2.33,-0.065,58.3,0.0,0.0,28.0,-0.7,1.0,0.0,0.0,1.0,road,road,1,1,413.8,2.62,4011,0,128.11,-8.98,360.85
14.4,,riding,129.1,0.10,-0.44,-0.012,58.1,0.0,0.0,14.0,-0.3,1.0,0.0,0.0,1.0,road,road,1,1,417.3,2.76,19520,0,131.17,-8.97,362.72
